product_name,rating,text,sentiment,issues,date,source
Clinique Dramatically Different,3,"Decent product, but I've used better.",neutral,,2026-03-15,synthetic
Aveeno Daily Moisturizer,4,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Neutrogena Hydro Boost,5,Love this Neutrogena Hydro Boost! Works great.,positive,,2026-03-15,synthetic
Kiehl Ultra Facial Cream,5,⭐⭐⭐⭐⭐ Best Kiehl Ultra Facial Cream I've ever used.,positive,,2026-03-15,synthetic
Neutrogena Hydro Boost,5,⭐⭐⭐⭐⭐ Best Neutrogena Hydro Boost I've ever used.,positive,,2026-03-15,synthetic
La Roche-Posay Moisturizer,4,Love this La Roche-Posay Moisturizer! Works great.,positive,,2026-03-15,synthetic
Olay Regenerist Retinol,5,Love this Olay Regenerist Retinol! Works great.,positive,,2026-03-15,synthetic
Kiehl Ultra Facial Cream,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
La Roche-Posay Moisturizer,5,Love this La Roche-Posay Moisturizer! Works great.,positive,,2026-03-15,synthetic
Clinique Dramatically Different,2,Caused terrible breakouts. Avoid this Clinique Dramatically Different.,negative,"acne,irritation",2026-03-15,synthetic
Olay Regenerist Retinol,5,⭐⭐⭐⭐⭐ Best Olay Regenerist Retinol I've ever used.,positive,,2026-03-15,synthetic
Kiehl Ultra Facial Cream,2,Caused terrible breakouts. Avoid this Kiehl Ultra Facial Cream.,negative,acne,2026-03-15,synthetic
CeraVe Hydrating Cleanser,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
The Ordinary Niacinamide,5,Love this The Ordinary Niacinamide! Works great.,positive,,2026-03-15,synthetic
Kiehl Ultra Facial Cream,5,Love this Kiehl Ultra Facial Cream! Works great.,positive,,2026-03-15,synthetic
La Roche-Posay Moisturizer,2,Gave me a rash! Had to stop using this La Roche-Posay Moisturizer.,negative,"rash,dryness",2026-03-15,synthetic
Neutrogena Hydro Boost,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
La Roche-Posay Moisturizer,5,Love this La Roche-Posay Moisturizer! Works great.,positive,,2026-03-15,synthetic
La Roche-Posay Moisturizer,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,3,"Decent product, but I've used better.",neutral,,2026-03-15,synthetic
Kiehl Ultra Facial Cream,5,"Amazing product, my skin is so much better.",positive,,2026-03-15,synthetic
Paula Choice BHA Exfoliant,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Aveeno Daily Moisturizer,4,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Aveeno Daily Moisturizer,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Clinique Dramatically Different,3,"Decent product, but I've used better.",neutral,,2026-03-15,synthetic
CeraVe Hydrating Cleanser,3,Works fine but a bit expensive.,neutral,,2026-03-15,synthetic
CeraVe Hydrating Cleanser,4,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
The Ordinary Niacinamide,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Kiehl Ultra Facial Cream,4,⭐⭐⭐⭐⭐ Best Kiehl Ultra Facial Cream I've ever used.,positive,,2026-03-15,synthetic
Kiehl Ultra Facial Cream,5,Love this Kiehl Ultra Facial Cream! Works great.,positive,,2026-03-15,synthetic
The Ordinary Niacinamide,4,⭐⭐⭐⭐⭐ Best The Ordinary Niacinamide I've ever used.,positive,,2026-03-15,synthetic
Cetaphil Gentle Cleanser,5,Love this Cetaphil Gentle Cleanser! Works great.,positive,,2026-03-15,synthetic
Olay Regenerist Retinol,4,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
Olay Regenerist Retinol,5,Really effective and gentle on my skin.,positive,,2026-03-15,synthetic
The Ordinary Niacinamide,3,"It's okay, nothing special.",neutral,,2026-03-15,synthetic
Clinique Dramatically Different,5,Love this Clinique Dramatically Different! Works great.,positive,,2026-03-15,synthetic
